team_name,tickets
M(IT)^2 - MIT Informatics Tournament,34
Red and Black Blocks of Crayons,35
👻 Boo Tao will getcha,33
cout<<ans; fuwwies :3 8d,32
sudo,32
Modern Prometheus,34
Trie Struct,34
(╯°□°)╯︵ ┻━┻,29
------- PRIZE CUTOFF -------,29
Byte Knights,32
); DROP TABLE teams;--,28
LIVE WO-CHIEN REACTION?!?! ඞඞඞඞඞ,31
CCA Conspiracy,32
J,30
Existing Chairs,30
Foots on Feet with Copium over Clowns,27
Basement of Toads,28
DaWei Olers_eyxbgx4,30
Critical Numbers,29
kana will win,27
e 🏢🗑️🔥,30
Los ke te van a ganar,30
Oppnith,28
Helloalgo,26
Too Dominant,26
among postor,26
Wtf strong,26
The Moo Crew,27
aiden,27
OSU Beaves,27
no touch grassers,24
X-Camp TrieHards,25
Gators,26
placeholder,24
Palindromio,27
\_(^>_<^)_/,24
As malvinas são cordobeisas,26
GoldenShadow,24
Rug,23
Dra Penta-ión,22
X-Camp Young People,23
Teamto de Invierno,24
whar,22
Mogsussy,24
sscg zlareful penguins,24
The three porinoa,24
灿烂冲锋团,23
STEM with Sagnik,22
X(we) - C(are) a(trying) m(our) p(best),24
harker chad,25
good team,23
while(noob) !grind,21
X-Camp Exit Code 139,23
brownies,21
Baby Yoda Math Team,21
Princeton CPT Amogus,23
amlelephant fan club,23
O(1),23
Rol Kabel Merlintir Koskaki,21
Milky Monkeys,21
X-Camp,21
Michaels Robots,21
AC47,23
SPR,21
aijiuh,20
The Jambloaters,21
Bellarmine College Prep,23
Populus-1,22
X-Camp Segfault,20
PSN,20
C++ Fusion Force,20
AGL,20
Night Parade of One Hundred Demons,20
X-Camp 707,21
TTmath,20
Seborgium,20
CCA Dissimulation,19
The People's 摸草共和国,19
Princeton CPT Aleph,20
The Flying Platypuses,20
CCA Unkindness,19
AsiansNextDoor,20
OSU Team C,20
Populus-3,19
CCA Treachery,19
i&(i+1),20
java bandits,19
67% Asian,19
ASDAN052,20
WhereIsThePrize,19
ChiNiCu,20
AlphaStar++,18
以下名单成绩无效,19
3.1415926,18
X-Camp Exit Code 158,20
�,20
[This page intentionally left blank],17
X-Camp High on Crackers,19
Master Chefs,21
Hornet's Blade,21
Phigros Phanatics <3,18
EV3,18
Team Taiwan,20
Soft Drinks,18
"Enjoy the game, not the fame",18
Bessie fanclub,18
OIM,18
import win,18
WESACO,18
pi is best,18
你什么档次敢说我不队,19
Codefusionists,20
Out of Memory,20
ASDAN051,18
PRC,20
独行侠,18
Mathgic,19
ASDAN002,19
ASDAN038,18
CodeCupcakes,20
0xDF,18
Plonkers,18
Error 1004,18
Hack Bubs,20
rohan ap stats god,17
literally not dijkstra,17
Made in China!,19
The Planetarium 🪐,18
Byte Busters,19
ERC@UCSD,17
Mission Possible,19
ASDAN003,19
Democratic Republic of Congo,18
Ctrl-Alt-Defeat,18
korean^3,17
cryan,19
Princeton CPT Affine,17
RICHCODE,19
change this later,17
pixpixpanda,17
HugoDConde,19
原神，启动！,20
dk,17
jriolopez,18
Salzcity,20
404 Brain Not Found,18
Bears,20
MTR,19
ScanfSupremacy,18
proNOOBers,16
MBHS Sophomores,19
the cool kids club,17
WApolloREW,18
The Potatoes,16
AlephZero01,19
The Bulldog Coders,19
希煜无敌,19
探路者,18
ASDAN021,17
Bsains,17
Jimbob,16
im hungry,17
Meow 😼,16
A Team,16
Aditya Shah,17
dallin bbozzi,19
kaibooooooo,19
Chynna's Solo Squad,19
Vengar,19
quacking excelling blender pandas,17
Genius,16
Flyingchimpanzee,17
lu_na 😔,16
Bastion of the Beavs,17
paropse,15
ASDAN033,19
XCamp Team,17
